@relation 'trainingData-weka.filters.unsupervised.attribute.Remove-R1-11,13,15'

@attribute duration numeric
@attribute pdays numeric
@attribute poutcome {unknown,failure,other,success}
@attribute termDeposit {no,yes}

@data
261,-1,unknown,no
151,-1,unknown,no
76,-1,unknown,no
92,-1,unknown,no
139,-1,unknown,no
217,-1,unknown,no
380,-1,unknown,no
50,-1,unknown,no
222,-1,unknown,no
137,-1,unknown,no
517,-1,unknown,no
71,-1,unknown,no
353,-1,unknown,no
98,-1,unknown,no
38,-1,unknown,no
219,-1,unknown,no
262,-1,unknown,no
164,-1,unknown,no
160,-1,unknown,no
342,-1,unknown,no
172,-1,unknown,no
296,-1,unknown,no
127,-1,unknown,no
255,-1,unknown,no
225,-1,unknown,no
230,-1,unknown,no
208,-1,unknown,no
226,-1,unknown,no
242,-1,unknown,no
365,-1,unknown,no
1666,-1,unknown,no
577,-1,unknown,no
160,-1,unknown,no
180,-1,unknown,no
22,-1,unknown,no
1492,-1,unknown,no
242,-1,unknown,no
355,-1,unknown,no
225,-1,unknown,no
160,-1,unknown,no
266,-1,unknown,no
253,-1,unknown,no
179,-1,unknown,no
787,-1,unknown,no
174,-1,unknown,no
104,-1,unknown,no
13,-1,unknown,no
185,-1,unknown,no
138,-1,unknown,no
812,-1,unknown,no
164,-1,unknown,no
391,-1,unknown,no
91,-1,unknown,no
528,-1,unknown,no
273,-1,unknown,no
158,-1,unknown,no
258,-1,unknown,no
172,-1,unknown,no
154,-1,unknown,no
291,-1,unknown,no
176,-1,unknown,no
211,-1,unknown,no
349,-1,unknown,no
272,-1,unknown,no
193,-1,unknown,no
212,-1,unknown,no
20,-1,unknown,no
1042,-1,unknown,yes
529,-1,unknown,no
1467,-1,unknown,yes
1389,-1,unknown,yes
188,-1,unknown,no
48,-1,unknown,no
213,-1,unknown,no
583,-1,unknown,no
221,-1,unknown,no
426,-1,unknown,no
287,-1,unknown,no
101,-1,unknown,no
203,-1,unknown,no
257,-1,unknown,no
124,-1,unknown,no
229,-1,unknown,no
55,-1,unknown,no
197,-1,unknown,no
190,-1,unknown,no
21,-1,unknown,no
514,-1,unknown,no
194,-1,unknown,no
144,-1,unknown,no
212,-1,unknown,no
286,-1,unknown,no
247,-1,unknown,no
518,-1,unknown,no
364,-1,unknown,no
178,-1,unknown,no
439,-1,unknown,no
79,-1,unknown,no
120,-1,unknown,no
127,-1,unknown,no
262,-1,unknown,no
61,-1,unknown,no
78,-1,unknown,no
143,-1,unknown,no
677,-1,unknown,no
345,-1,unknown,no
185,-1,unknown,no
100,-1,unknown,no
193,-1,unknown,no
136,-1,unknown,no
73,-1,unknown,no
528,-1,unknown,no
163,-1,unknown,no
301,-1,unknown,no
46,-1,unknown,no
204,-1,unknown,no
71,-1,unknown,no
157,-1,unknown,no
243,-1,unknown,no
186,-1,unknown,no
163,-1,unknown,no
610,-1,unknown,no
2033,-1,unknown,no
85,-1,unknown,no
114,-1,unknown,no
57,-1,unknown,no
238,-1,unknown,no
93,-1,unknown,no
107,-1,unknown,no
181,-1,unknown,no
303,-1,unknown,no
558,-1,unknown,no
228,-1,unknown,no
99,-1,unknown,no
240,-1,unknown,no
673,-1,unknown,yes
1056,-1,unknown,no
250,-1,unknown,no
252,-1,unknown,no
138,-1,unknown,no
412,-1,unknown,no
179,-1,unknown,no
19,-1,unknown,no
458,-1,unknown,no
313,-1,unknown,no
683,-1,unknown,no
1077,-1,unknown,no
416,-1,unknown,no
167,-1,unknown,no
315,-1,unknown,no
140,-1,unknown,no
346,-1,unknown,no
172,-1,unknown,no
217,-1,unknown,no
142,-1,unknown,no
67,-1,unknown,no
309,-1,unknown,no
248,-1,unknown,no
