@relation 'trainingData-weka.filters.unsupervised.attribute.Remove-R2-6,8,10,13'

@attribute age numeric
@attribute housing {yes,no}
@attribute contact {unknown,cellular,telephone}
@attribute month {may,jun,jul,aug,oct,nov,dec,jan,feb,mar,apr,sep}
@attribute duration numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {unknown,failure,other,success}
@attribute termDeposit {no,yes}

@data
58,yes,unknown,may,261,-1,0,unknown,no
44,yes,unknown,may,151,-1,0,unknown,no
33,yes,unknown,may,76,-1,0,unknown,no
47,yes,unknown,may,92,-1,0,unknown,no
35,yes,unknown,may,139,-1,0,unknown,no
28,yes,unknown,may,217,-1,0,unknown,no
42,yes,unknown,may,380,-1,0,unknown,no
58,yes,unknown,may,50,-1,0,unknown,no
41,yes,unknown,may,222,-1,0,unknown,no
29,yes,unknown,may,137,-1,0,unknown,no
53,yes,unknown,may,517,-1,0,unknown,no
58,yes,unknown,may,71,-1,0,unknown,no
51,yes,unknown,may,353,-1,0,unknown,no
45,yes,unknown,may,98,-1,0,unknown,no
57,yes,unknown,may,38,-1,0,unknown,no
60,yes,unknown,may,219,-1,0,unknown,no
28,yes,unknown,may,262,-1,0,unknown,no
56,yes,unknown,may,164,-1,0,unknown,no
32,yes,unknown,may,160,-1,0,unknown,no
25,yes,unknown,may,342,-1,0,unknown,no
44,yes,unknown,may,172,-1,0,unknown,no
39,yes,unknown,may,296,-1,0,unknown,no
52,yes,unknown,may,127,-1,0,unknown,no
46,yes,unknown,may,255,-1,0,unknown,no
57,no,unknown,may,225,-1,0,unknown,no
49,yes,unknown,may,230,-1,0,unknown,no
60,yes,unknown,may,208,-1,0,unknown,no
59,yes,unknown,may,226,-1,0,unknown,no
57,yes,unknown,may,242,-1,0,unknown,no
25,yes,unknown,may,365,-1,0,unknown,no
53,no,unknown,may,1666,-1,0,unknown,no
36,yes,unknown,may,577,-1,0,unknown,no
44,yes,unknown,may,160,-1,0,unknown,no
50,yes,unknown,may,180,-1,0,unknown,no
60,yes,unknown,may,22,-1,0,unknown,no
54,yes,unknown,may,1492,-1,0,unknown,no
36,yes,unknown,may,242,-1,0,unknown,no
58,yes,unknown,may,355,-1,0,unknown,no
44,yes,unknown,may,225,-1,0,unknown,no
55,no,unknown,may,160,-1,0,unknown,no
54,yes,unknown,may,266,-1,0,unknown,no
48,yes,unknown,may,253,-1,0,unknown,no
32,yes,unknown,may,179,-1,0,unknown,no
42,yes,unknown,may,787,-1,0,unknown,no
38,no,unknown,may,174,-1,0,unknown,no
38,yes,unknown,may,104,-1,0,unknown,no
47,yes,unknown,may,13,-1,0,unknown,no
40,yes,unknown,may,185,-1,0,unknown,no
32,yes,unknown,may,138,-1,0,unknown,no
53,yes,unknown,may,812,-1,0,unknown,no
57,yes,unknown,may,164,-1,0,unknown,no
33,yes,unknown,may,391,-1,0,unknown,no
51,yes,unknown,may,91,-1,0,unknown,no
60,no,unknown,may,528,-1,0,unknown,no
59,yes,unknown,may,273,-1,0,unknown,no
55,yes,unknown,may,158,-1,0,unknown,no
57,yes,unknown,may,258,-1,0,unknown,no
31,yes,unknown,may,172,-1,0,unknown,no
54,yes,unknown,may,154,-1,0,unknown,no
55,yes,unknown,may,291,-1,0,unknown,no
53,yes,unknown,may,176,-1,0,unknown,no
44,no,unknown,may,211,-1,0,unknown,no
55,no,unknown,may,349,-1,0,unknown,no
49,yes,unknown,may,272,-1,0,unknown,no
45,yes,unknown,may,193,-1,0,unknown,no
47,no,unknown,may,212,-1,0,unknown,no
42,yes,unknown,may,20,-1,0,unknown,no
59,yes,unknown,may,1042,-1,0,unknown,yes
51,yes,unknown,may,529,-1,0,unknown,no
56,no,unknown,may,1467,-1,0,unknown,yes
41,yes,unknown,may,1389,-1,0,unknown,yes
46,yes,unknown,may,188,-1,0,unknown,no
42,no,unknown,may,48,-1,0,unknown,no
30,yes,unknown,may,213,-1,0,unknown,no
60,yes,unknown,may,583,-1,0,unknown,no
60,yes,unknown,may,221,-1,0,unknown,no
36,yes,unknown,may,426,-1,0,unknown,no
55,no,unknown,may,287,-1,0,unknown,no
60,yes,unknown,may,101,-1,0,unknown,no
39,yes,unknown,may,203,-1,0,unknown,no
44,yes,unknown,may,257,-1,0,unknown,no
53,no,unknown,may,124,-1,0,unknown,no
52,yes,unknown,may,229,-1,0,unknown,no
59,yes,unknown,may,55,-1,0,unknown,no
44,yes,unknown,may,197,-1,0,unknown,no
47,yes,unknown,may,190,-1,0,unknown,no
34,no,unknown,may,21,-1,0,unknown,no
59,yes,unknown,may,514,-1,0,unknown,no
29,yes,unknown,may,194,-1,0,unknown,no
46,no,unknown,may,144,-1,0,unknown,no
56,yes,unknown,may,212,-1,0,unknown,no
36,yes,unknown,may,286,-1,0,unknown,no
44,yes,unknown,may,247,-1,0,unknown,no
41,yes,unknown,may,518,-1,0,unknown,no
33,yes,unknown,may,364,-1,0,unknown,no
59,no,unknown,may,178,-1,0,unknown,no
56,yes,unknown,may,439,-1,0,unknown,no
51,yes,unknown,may,79,-1,0,unknown,no
34,yes,unknown,may,120,-1,0,unknown,no
43,yes,unknown,may,127,-1,0,unknown,no
33,yes,unknown,may,262,-1,0,unknown,no
29,yes,unknown,may,61,-1,0,unknown,no
34,yes,unknown,may,78,-1,0,unknown,no
31,yes,unknown,may,143,-1,0,unknown,no
55,no,unknown,may,677,-1,0,unknown,no
32,yes,unknown,may,345,-1,0,unknown,no
38,yes,unknown,may,185,-1,0,unknown,no
55,yes,unknown,may,100,-1,0,unknown,no
23,yes,unknown,may,193,-1,0,unknown,no
32,yes,unknown,may,136,-1,0,unknown,no
43,no,unknown,may,73,-1,0,unknown,no
32,yes,unknown,may,528,-1,0,unknown,no
53,yes,unknown,may,163,-1,0,unknown,no
34,yes,unknown,may,301,-1,0,unknown,no
57,no,unknown,may,46,-1,0,unknown,no
37,yes,unknown,may,204,-1,0,unknown,no
33,yes,unknown,may,71,-1,0,unknown,no
56,yes,unknown,may,157,-1,0,unknown,no
48,yes,unknown,may,243,-1,0,unknown,no
43,yes,unknown,may,186,-1,0,unknown,no
51,yes,unknown,may,163,-1,0,unknown,no
26,yes,unknown,may,610,-1,0,unknown,no
40,yes,unknown,may,2033,-1,0,unknown,no
39,yes,unknown,may,85,-1,0,unknown,no
41,yes,unknown,may,114,-1,0,unknown,no
51,yes,unknown,may,57,-1,0,unknown,no
60,yes,unknown,may,238,-1,0,unknown,no
52,yes,unknown,may,93,-1,0,unknown,no
48,yes,unknown,may,107,-1,0,unknown,no
39,yes,unknown,may,181,-1,0,unknown,no
47,yes,unknown,may,303,-1,0,unknown,no
40,yes,unknown,may,558,-1,0,unknown,no
26,yes,unknown,may,228,-1,0,unknown,no
52,yes,unknown,may,99,-1,0,unknown,no
54,yes,unknown,may,240,-1,0,unknown,no
54,no,unknown,may,673,-1,0,unknown,yes
35,yes,unknown,may,1056,-1,0,unknown,no
44,yes,unknown,may,250,-1,0,unknown,no
53,yes,unknown,may,252,-1,0,unknown,no
35,no,unknown,may,138,-1,0,unknown,no
53,yes,unknown,may,412,-1,0,unknown,no
48,yes,unknown,may,179,-1,0,unknown,no
34,yes,unknown,may,19,-1,0,unknown,no
54,yes,unknown,may,458,-1,0,unknown,no
31,yes,unknown,may,313,-1,0,unknown,no
35,yes,unknown,may,683,-1,0,unknown,no
35,yes,unknown,may,1077,-1,0,unknown,no
38,yes,unknown,may,416,-1,0,unknown,no
58,yes,unknown,may,167,-1,0,unknown,no
40,yes,unknown,may,315,-1,0,unknown,no
54,no,unknown,may,140,-1,0,unknown,no
34,yes,unknown,may,346,-1,0,unknown,no
51,yes,unknown,may,172,-1,0,unknown,no
